Agent_ID,Date,Hour,GROUP_NAME,CALLS_ANSWERED,RONA,LOGGED_ON_TIME,AVAILABLE_TIME,PER_AVAIL,HANDLED_CALLS_TIME,AVG_HANDLE_TIME,POD_NAME
11,2021-01-04,14,CN_SCH_SPECC_POD_2_SG,10,0,3456,864,0.29359999999999997,2592,0,POD 2
11,2021-01-04,14,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,864,0.29359999999999997,0,0,POD 2
11,2021-01-04,15,CN_SCH_SPECC_POD_2_SG,7,0,3456,1728,0.4647,1728,0,POD 2
11,2021-01-04,15,CN_SCH_SPECC_SP_POD_2_SG,1,0,3456,1728,0.4647,0,0,POD 2
11,2021-01-04,16,CN_SCH_SPECC_POD_2_SG,3,0,864,0,0.38270000000000004,864,0,POD 2
11,2021-01-04,16,CN_SCH_SPECC_SP_POD_2_SG,0,0,864,0,0.38270000000000004,0,0,POD 2
6,2021-01-04,08,CN_SCH_SPECC_EN_SG,0,0,0,0,0.0,0,0,POD 3
6,2021-01-04,08,CN_SCH_SPECC_POD_1_SG,3,0,1728,864,0.4747,0,0,POD 1
6,2021-01-04,08,CN_SCH_SPECC_SP_POD_1_SG,1,0,1728,864,0.4747,0,0,POD 1
6,2021-01-04,08,CN_SCH_SPECC_SP_SG,0,0,0,0,0.0,0,0,POD 3
6,2021-01-04,09,CN_SCH_SPECC_POD_1_SG,6,0,3456,864,0.2939,1728,0,POD 1
6,2021-01-04,09,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,864,0.2939,0,0,POD 1
6,2021-01-04,10,CN_SCH_SPECC_POD_1_SG,7,0,3456,864,0.25,1728,0,POD 1
6,2021-01-04,10,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,864,0.25,0,0,POD 1
6,2021-01-04,11,CN_SCH_SPECC_POD_1_SG,6,0,3456,864,0.23190000000000002,2592,0,POD 1
6,2021-01-04,11,CN_SCH_SPECC_POD_2_SG,1,0,0,0,0.0045000000000000005,0,0,POD 2
6,2021-01-04,11,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,864,0.23190000000000002,0,0,POD 1
6,2021-01-04,12,CN_SCH_SPECC_POD_1_SG,3,0,3456,0,0.0006,864,0,POD 1
6,2021-01-04,12,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,0,0.0006,0,0,POD 1
6,2021-01-04,13,CN_SCH_SPECC_EN_SG,1,0,0,0,0.0,0,0,POD 3
6,2021-01-04,13,CN_SCH_SPECC_POD_1_SG,7,0,3456,1728,0.3614,864,0,POD 1
6,2021-01-04,13,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.3614,0,0,POD 1
6,2021-01-04,14,CN_SCH_SPECC_POD_1_SG,7,0,3456,864,0.2192,1728,0,POD 1
6,2021-01-04,14,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,864,0.2192,0,0,POD 1
6,2021-01-04,15,CN_SCH_SPECC_POD_1_SG,6,0,3456,864,0.3322,1728,0,POD 1
6,2021-01-04,15,CN_SCH_SPECC_SP_POD_1_SG,1,0,3456,864,0.3322,864,864,POD 1
6,2021-01-04,16,CN_SCH_SPECC_POD_1_SG,5,0,3456,1728,0.5908,1728,0,POD 1
6,2021-01-04,16,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.5908,0,0,POD 1
6,2021-01-04,17,CN_SCH_SPECC_POD_1_SG,0,0,0,0,0.2857,0,0,POD 1
6,2021-01-04,17,CN_SCH_SPECC_SP_POD_1_SG,0,0,0,0,0.2857,0,0,POD 1
12,2021-01-05,08,CN_SCH_SPECC_EN_SG,1,0,1728,864,0.5526,0,0,POD 3
12,2021-01-05,08,CN_SCH_SPECC_POD_1_SG,2,0,0,0,0.0464,0,0,POD 1
12,2021-01-05,08,CN_SCH_SPECC_SP_POD_1_SG,0,0,0,0,0.0464,0,0,POD 1
12,2021-01-05,08,CN_SCH_SPECC_SP_SG,0,0,1728,864,0.5526,0,0,POD 3
8,2021-01-05,08,CN_SCH_SPECC_POD_1_SG,3,0,1728,864,0.5575,0,0,POD 1
8,2021-01-05,08,CN_SCH_SPECC_SP_POD_1_SG,0,0,1728,864,0.5575,0,0,POD 1
3,2021-01-05,08,CN_SCH_SPECC_EN_SG,2,0,1728,0,0.2339,864,864,POD 3
3,2021-01-05,08,CN_SCH_SPECC_SP_SG,0,0,1728,0,0.2339,0,0,POD 3
5,2021-01-05,08,CN_SCH_SPECC_POD_1_SG,0,0,864,0,0.0,0,0,POD 1
5,2021-01-05,08,CN_SCH_SPECC_SP_POD_1_SG,0,0,864,0,0.0,0,0,POD 1
4,2021-01-05,08,CN_SCH_SPECC_POD_2_SG,8,0,1728,864,0.25329999999999997,864,0,POD 2
4,2021-01-05,08,CN_SCH_SPECC_SP_POD_2_SG,0,0,1728,864,0.25329999999999997,0,0,POD 2
1,2021-01-05,08,CN_SCH_SPECC_EN_SG,4,0,2592,864,0.45280000000000004,864,0,POD 3
1,2021-01-05,08,CN_SCH_SPECC_SP_SG,0,0,2592,864,0.45280000000000004,0,0,POD 3
12,2021-01-05,09,CN_SCH_SPECC_EN_SG,4,0,3456,2592,0.6983,864,0,POD 3
12,2021-01-05,09,CN_SCH_SPECC_SP_SG,1,0,3456,2592,0.6983,0,0,POD 3
8,2021-01-05,09,CN_SCH_SPECC_POD_1_SG,11,0,3456,1728,0.4611,1728,0,POD 1
8,2021-01-05,09,CN_SCH_SPECC_SP_POD_1_SG,0,0,3456,1728,0.4611,0,0,POD 1
14,2021-01-05,09,CN_SCH_SPECC_POD_2_SG,7,0,3456,864,0.3482,864,0,POD 2
14,2021-01-05,09,CN_SCH_SPECC_SP_POD_2_SG,1,0,3456,864,0.3482,0,0,POD 2
3,2021-01-05,09,CN_SCH_SPECC_EN_SG,3,0,3456,1728,0.4244,1728,864,POD 3
3,2021-01-05,09,CN_SCH_SPECC_SP_SG,0,0,3456,1728,0.4244,0,0,POD 3
5,2021-01-05,09,CN_SCH_SPECC_POD_1_SG,6,0,2592,1728,0.5453,864,0,POD 1
5,2021-01-05,09,CN_SCH_SPECC_SP_POD_1_SG,0,0,2592,1728,0.5453,0,0,POD 1
18,2021-01-05,09,CN_SCH_SPECC_EN_SG,3,0,3456,1728,0.5149,864,0,POD 3
18,2021-01-05,09,CN_SCH_SPECC_SP_SG,0,0,3456,1728,0.5149,0,0,POD 3
4,2021-01-05,09,CN_SCH_SPECC_POD_2_SG,12,0,3456,1728,0.3714,1728,0,POD 2
4,2021-01-05,09,CN_SCH_SPECC_SP_POD_2_SG,0,0,3456,1728,0.3714,0,0,POD 2
1,2021-01-05,09,CN_SCH_SPECC_EN_SG,9,0,3456,2592,0.6228,864,0,POD 3
1,2021-01-05,09,CN_SCH_SPECC_SP_SG,0,0,3456,2592,0.6228,0,0,POD 3
