Date,Agent_ID,Break[10003],Extended Wrap Up[10048],Go To Logout[10025],Lunch[10001],Undefined[0],CTI Failure[50002],Outbound Calls[32],RONA[32767],Administration[11043],Computer Issues[10030],Meeting[10007],[50003],Training[10005],[32762],[999],Member Facing Work[11494],Missed Tasks[50010]
1/12/21,14,21.5,52.9,0.7,,0.5,,,1.0,23.4,,,,,,,,
1/12/21,14,40.5,58.8,0.4,,0.4,,,,,,,,,,,,
1/13/21,4,11.5,,0.9,71.6,16.1,,,0.0,,,,,,,,,
1/13/21,12,18.0,21.4,0.1,60.4,0.1,,,0.1,,,,,,,,,
1/13/21,11,10.7,,0.0,50.2,15.0,,,,24.2,,,,,,,,
1/13/21,16,20.9,9.2,0.1,64.1,5.8,,,,,,,,,,,,
1/13/21,1,16.1,1.2,0.1,79.8,2.7,,,,0.0,,,,,,,,
1/13/21,2,38.5,3.3,0.1,57.6,0.4,,,0.1,,,,,,,,,
1/13/21,8,,7.9,0.4,91.4,0.2,,,,,,,,,,,,
1/13/21,13,18.3,,0.2,68.3,0.1,,,8.5,4.6,,,,,,,,
1/13/21,6,5.1,35.5,0.1,59.3,0.1,,,,,,,,,,,,
1/13/21,5,15.0,18.7,0.1,65.1,1.2,,,,,,,,,,,,
1/13/21,18,64.9,34.2,0.4,,0.5,,,,,,,,,,,,
1/13/21,14,,96.6,0.5,,0.7,,,0.9,1.3,,,,,,,,
1/13/21,14,39.8,55.7,0.6,,0.6,,,,3.2,,,,,,,,
1/14/21,4,2.9,,,77.1,19.9,,,0.1,,,,0.0,,,,,
1/14/21,12,19.3,16.8,0.2,62.4,1.4,,,,,,,,,,,,
1/14/21,11,5.6,2.9,0.1,80.1,5.5,,,,,5.9,,,,,,,
1/14/21,1,53.5,,0.7,,38.4,,,,,7.4,,,,,,,
1/14/21,16,7.0,12.1,,69.4,11.6,,,,,,,,,,,,
1/14/21,3,9.3,26.3,0.1,61.9,0.3,,0.2,,0.0,2.0,,0.0,,,,,
1/14/21,2,17.3,,,9.2,0.3,,,,73.2,,,,,,,,
1/14/21,6,,69.8,,30.0,0.2,,,,,,,,,,,,
1/14/21,13,99.7,,,,0.3,,,,,,,0.0,,,,,
1/14/21,18,46.2,37.7,0.3,,0.6,,11.8,,,3.4,,,,,,,
1/14/21,5,43.2,52.4,,,4.4,,,,,,,0.0,,,,,
1/14/21,14,,98.8,,,1.2,,,,,,,0.0,,,,,
1/14/21,2,,32.8,9.0,,100.0,,,,,52.2,,,,,,,
1/14/21,5,,,,,100.0,,,,,,,0.0,,,,,
1/14/21,13,,1.5,,95.1,0.9,,,,,2.5,,,,,,,
1/14/21,1,9.4,37.8,0.1,90.0,0.5,56.2,,,,,,,,,,,
1/14/21,4,,,6.4,,34.1,,,59.5,,,,,,,,,
1/14/21,2,,,,94.0,6.0,,,,,,,0.0,,,,,
1/14/21,5,,37.5,,62.1,0.4,,,,,,,,,,,,
1/14/21,18,,,58.3,,41.7,,,,,,,,,,,,
1/14/21,14,,96.1,2.5,,1.4,,,,,,,,,,,,
1/14/21,16,,,,,100.0,,,,,,,0.0,,,,,
1/14/21,6,,,,,100.0,,,,,,,0.0,,,,,
1/14/21,16,14.3,,,,85.7,,,,,,,,,,,,
1/14/21,5,,,,,100.0,,,,,,,,,,,,
1/14/21,6,,69.7,,,30.3,,,,,,,,,,,,
1/14/21,4,77.4,,10.2,,12.4,,,,,,,,,,,,
1/14/21,16,83.1,15.8,0.2,,1.0,,,,,,,,,,,,
1/14/21,6,,99.2,0.3,,0.5,,,,,,,,,,,,
1/14/21,8,,92.8,3.6,,3.6,,,,,,,,,,,,
1/14/21,2,70.5,26.0,0.5,,3.1,,,,,,,,,,,,
1/14/21,5,13.1,83.2,,,3.7,,,,,,,,,,,,
1/14/21,14,73.1,25.3,0.8,,0.8,,,,,,,,,,,,
1/14/21,13,86.5,12.8,0.3,,0.4,,,,,,,,,,,,
1/15/21,4,3.2,,0.1,80.4,16.2,,,0.0,,,,,,,,,
1/15/21,12,22.5,1.8,0.1,75.5,0.1,,,0.1,,,,,,,,,
1/15/21,11,12.0,0.5,0.1,64.8,22.6,,,,,,,,,,,,
1/15/21,1,18.3,1.6,0.1,75.6,4.5,,,,,,,,,,,,
1/15/21,16,8.7,30.4,0.0,4.2,2.2,54.3,0.1,,,,,,,,,,
1/15/21,3,11.9,19.0,0.1,68.6,0.5,,0.1,,4.0,,,,,,,,
1/15/21,13,25.9,1.9,0.1,71.9,0.1,,,0.1,,,,,,,,,
1/15/21,8,3.5,6.4,0.1,66.4,0.1,,,23.6,,,,,,,,,
1/15/21,7,,34.5,0.1,65.4,0.1,,,,,,,,,,,,
