Agent_ID,LOG_ON_DATE_TIME,REASON_CODE,DURATION
12,2021-01-08 08:30:00,RONA[32767],10
6,2021-01-08 08:31:00,Break[10003],498
6,2021-01-08 08:31:00,Extended Wrap Up[10048],2384
6,2021-01-08 08:31:00,Go To Logout[10025],6
6,2021-01-08 08:31:00,Lunch[10001],37
7,2021-01-08 08:32:00,Extended Wrap Up[10048],959
7,2021-01-08 08:32:00,Go To Logout[10025],7
7,2021-01-08 08:32:00,Lunch[10001],3595
7,2021-01-08 08:32:00,RONA[32767],6
5,2021-01-08 09:02:00,Break[10003],866
5,2021-01-08 09:02:00,Extended Wrap Up[10048],1674
5,2021-01-08 09:02:00,Go To Logout[10025],3
5,2021-01-08 09:02:00,Lunch[10001],76
18,2021-01-08 09:05:00,Break[10003],935
18,2021-01-08 09:05:00,Extended Wrap Up[10048],1242
18,2021-01-08 09:05:00,Go To Logout[10025],5
14,2021-01-08 09:09:00,Extended Wrap Up[10048],659
14,2021-01-08 09:09:00,Go To Logout[10025],3
14,2021-01-08 14:06:00,Extended Wrap Up[10048],545
14,2021-01-08 14:06:00,Go To Logout[10025],6
12,2021-01-11 07:56:00,Break[10003],1085
12,2021-01-11 07:56:00,Extended Wrap Up[10048],353
12,2021-01-11 07:56:00,Go To Logout[10025],7
12,2021-01-11 07:56:00,Lunch[10001],128
12,2021-01-11 07:56:00,RONA[32767],4
11,2021-01-11 08:19:00,Break[10003],397
11,2021-01-11 08:19:00,Extended Wrap Up[10048],54
11,2021-01-11 08:19:00,Go To Logout[10025],9
11,2021-01-11 08:19:00,Lunch[10001],22
11,2021-01-11 08:19:00,Outbound Calls[32],8
11,2021-01-11 08:19:00,RONA[32767],5
16,2021-01-11 08:28:00,Break[10003],893
16,2021-01-11 08:28:00,Extended Wrap Up[10048],455
16,2021-01-11 08:28:00,Lunch[10001],11
1,2021-01-11 08:29:00,Administration[11043],3
1,2021-01-11 08:29:00,Break[10003],576
1,2021-01-11 08:29:00,Extended Wrap Up[10048],195
1,2021-01-11 08:29:00,Go To Logout[10025],5
1,2021-01-11 08:29:00,Lunch[10001],3590
2,2021-01-11 08:29:00,Break[10003],1694
2,2021-01-11 08:29:00,Go To Logout[10025],4
2,2021-01-11 08:29:00,Lunch[10001],2734
2,2021-01-11 08:29:00,RONA[32767],57
3,2021-01-11 08:30:00,Break[10003],266
3,2021-01-11 08:30:00,Extended Wrap Up[10048],1718
3,2021-01-11 08:30:00,Go To Logout[10025],24
3,2021-01-11 08:30:00,Lunch[10001],6
3,2021-01-11 08:30:00,Outbound Calls[32],22
8,2021-01-11 08:32:00,Break[10003],330
8,2021-01-11 08:32:00,Extended Wrap Up[10048],851
8,2021-01-11 08:32:00,Go To Logout[10025],8
8,2021-01-11 08:32:00,Lunch[10001],9
7,2021-01-11 08:34:00,Break[10003],11
7,2021-01-11 08:34:00,Extended Wrap Up[10048],965
7,2021-01-11 08:34:00,Go To Logout[10025],5
7,2021-01-11 08:34:00,Lunch[10001],124
5,2021-01-11 08:34:00,Break[10003],657
5,2021-01-11 08:34:00,Extended Wrap Up[10048],2734
5,2021-01-11 08:34:00,Go To Logout[10025],4
5,2021-01-11 08:34:00,Lunch[10001],125
5,2021-01-11 08:34:00,RONA[32767],1
6,2021-01-11 08:59:00,Break[10003],540
6,2021-01-11 08:59:00,Extended Wrap Up[10048],463
6,2021-01-11 08:59:00,Go To Logout[10025],60
6,2021-01-11 08:59:00,Lunch[10001],53
18,2021-01-11 09:04:00,Break[10003],949
18,2021-01-11 09:04:00,Extended Wrap Up[10048],1053
18,2021-01-11 09:04:00,Go To Logout[10025],8
14,2021-01-11 09:12:00,Break[10003],185
14,2021-01-11 09:12:00,Extended Wrap Up[10048],730
14,2021-01-11 09:12:00,Go To Logout[10025],6
14,2021-01-11 14:01:00,Break[10003],1004
14,2021-01-11 14:01:00,Extended Wrap Up[10048],282
14,2021-01-11 14:01:00,Go To Logout[10025],4
4,2021-01-12 07:53:00,Administration[11043],2
4,2021-01-12 07:53:00,Break[10003],144
